,title,description,title_tokens,title_tokens_fdist,title_tokens_wsw,title_tokens_stemmed
0,Potensi Tsunami yang Menghantui DKI Jakarta Penampakan di Laut,"Ayo share cerita pengalaman dan upload photo album travelingmu di sini.
Silakan

 Potensi tsunami tengah menghantui Selatan pantai Jawa. Namun, bencana itu juga
berpotensi sampai DKI Jakarta.

 Dalam keterangannya beberapa waktu lalu, Kepala Laboratorium Geodesi Institut
Teknologi Bandung (ITB), Heri Andreas mengatakan dari data Global Navigation
Satellite System (GNSS) terdapat akumulasi energi di bagian megathrust Selat
Sunda sampai selatan Pulau Jawa. Daerah tersebut seperti Pelabuhan Ratu dan
selatan Parangtritis serta selatan Pantai Jawa Timur.

 Dari pemodelan, jika gempa terjadi hingga kekuatan mencapai magnitudo (M) 8,7
sampai 9,0 kemungkinan diikuti tsunami raksasa setinggi 20 meter.

 Selain itu risiko Jakarta terkena tsunami akan lebih besar, dikarenakan
wilayah pesisir sudah berada di bawah laut hingga minus 1 hingga 2 meter.

 ""Berdasarkan hasil simulasi model, run-up tsunami dapat mencapai sebagian
besar Pluit, Ancol, Gunung Sahari, Kota Tua hingga Gajah Mada. Kalau kita
perhatikan modelnya ternyata nyaris menyentuh Istana,"" ujar Heri dalam
keterangan tertulis seperti dikutip

 Dari pemodelan yang dibuat, peran tanggul untuk laut Jakarta sangat penting.
Ini bisa berfungsi untuk melindungi Jakarta dari banjir rob hingga ancaman
tsunami.

 Dia mengatakan fakta ancaman tersebut harus diungkapkan. ""Fakta ini mau tidak
mau harus diungkap, meskipun terkesan menakut-nakuti,"" kata Heri.

 Selain itu masyarakat juga diimbau menyikapi risiko tersebut dengan lebih
bijak dan waspada. Gempa bumi dan tsunami ada bencana alam yang hampir tidak
mungkin dicegah.

 Sebelumnya juga terdapat prediksi potensi gempa besar dan tsunami setinggi 29
meter. Ini diperkirakan akan terjadi di wilayah pantai selatan Jawa, khususnya
Jawa Timur.

 Selain itu juga pernah ada prediksi dari Tim ITB soal gempa dan tsunami di
pesisir Jawa hingga Selat Sunda. Diperkirakan tsunaminya memiliki tinggi 20
meter.

 Namun menurut Badan Meteorologi, Klimatologi, dan Geofisika (BMKG) belum ada
teknologi yang dapat memprediksi soal gempa dengan tepat dan akurat. Termasuk
soal keakuratan waktu kejadian, tempat dan kekuatan saat gempa terjadi.

 BMKG juga mengatakan tidak pernah mengeluarkan prediksi soal bencana tersebut.
""Sehingga BMKG tidak pernah mengeluarkan informasi prediksi gempa bumi,""
mengutip dari laman resmi BMKG.

 Itulah berita

 ","['Potensi', 'Tsunami', 'yang', 'Menghantui', 'DKI', 'Jakarta', 'Penampakan', 'di', 'Laut']",<FreqDist with 9 samples and 9 outcomes>,<FreqDist with 9 samples and 9 outcomes>,"['potensi', 'tsunami', 'yang', 'hantu', 'dki', 'jakarta', 'tampak', 'di', 'laut']"
1,PDIP Surabaya Berangkatkan Bantuan Kloter Ketiga untuk Korban Erupsi Semeru,"PDIP Surabaya kembali mengirimkan bantuan untuk warga terdampak

 ""Kemanusiaan selalu di atas segala-galanya. PDI Perjuangan bersama masyarakat
dalam suka dan duka. Itulah yang selalu diajarkan Ketua Umum Ibu Megawati
Soekarnoputri. Sehingga kami sekuat tenaga berbela rasa dengan saudara-saudara
kita di sekitar Semeru,"" ujar Taru Sasmito, Bendahara DPC PDI Perjuangan Kota
Surabaya,"" Minggu (12/12/2021).

 Taru mengatakan, bantuan berupa barang-barang kebutuhan sehari-hari. Yang
dihimpun dari gerakan gotong royong keluarga besar PDI Perjuangan se-Kota
Surabaya.

 Taru menyampaikan terima kasih kepada seluruh kader dan pengurus PDIP
Surabaya, mulai di tingkat anak ranting (setara RW), ranting (kelurahan), PAC
(kecamatan), jajaran DPC Kota Surabaya, dan anggota Fraksi PDIP DPRD Surabaya
yang telah bergotong royong membantu warga terdampak erupsi Gunung Semeru.

 Ada pula bantuan gotong royong Komunitas Juang Merah Total (KJMT). Yakni
kader-kader PDI Perjuangan yang bekerja sebagai pekerja kontrak di DPRD
Surabaya.

 ""Juga terima kasih kepada Pak Eri Cahyadi dan Pak Armuji yang telah
mengirimkan bantuan pribadi melalui Kantor DPC PDI Perjuangan. Ada peralatan
mandi, mainan anak-anak, susu dan makanan balita, dan lainnya. Para kader
semakin solid. Tiga pilar partai berjalan kompak. Bergerak rampak dalam satu
barisan membantu warga dalam melintasi masa sulit,"" ujar Taru.

 Bantuan Sabtu kemarin dibagi dua. Pertama, menuju Kantor DPC PDI Perjuangan
Lumajang, yang kemudian akan mendistribusikan ke warga masyarakat yang
terdampak erupsi Semeru. Kedua, dikirim ke Lumajang yang diakses dari jalur
Malang. Bantuan diterima tim Baguna PDI Perjuangan Kabupaten Malang.

 Wakil Ketua DPC PDIP Surabaya Sjukur Amaludin menambahkan, bantuan tahap
ketiga terdiri atas berbagai bahan makanan, makanan siap santap, obat,
vitamin, perlengkapan perempuan, keperluan bayi, susu, makanan bayi, dan
sebagainya. Ada juga ratusan sarung dan selimut. Ada beras, gula, mi instan
dan jenis sembako lainnya. Pengiriman dilakukan dengan menggunakan truk
berukuran besar.

 ""Tim Badan Penanggulangan Bencana (Baguna) PDI Perjuangan Surabaya juga telah
mengadakan bakti sosial kesehatan di desa-desa sekitar Gunung Semeru, untuk
membantu warga masyarakat,"" ujar Amaludin.

 Wakil Sekretaris DPC PDIP Surabaya, Anas Karno menjelaskan, tim Baguna yang
ada di Lumajang berkoordinasi dengan Kantor DPC PDI Perjuangan Kota Surabaya
melalui sambungan video. Mereka melaporkan penyaluran bantuan hingga
pelaksanaan baksos pemeriksaan kesehatan untuk warga.

 ","['PDIP', 'Surabaya', 'Berangkatkan', 'Bantuan', 'Kloter', 'Ketiga', 'untuk', 'Korban', 'Erupsi', 'Semeru']",<FreqDist with 10 samples and 10 outcomes>,<FreqDist with 10 samples and 10 outcomes>,"['pdip', 'surabaya', 'berangkat', 'bantu', 'kloter', 'tiga', 'untuk', 'korban', 'erupsi', 'meru']"
2,Erick Thohir Kerahkan BUMN Bantu Korban Erupsi Gunung Semeru,"Menteri BUMN Erick Thohir mendorong BUMN untuk terlibat membantu meringankan
warga yang terdampak erupsi Gunung Semeru. Dalam kunjungannya ke Jawa Timur,
Erick Thohir, menyerahkan bantuan berupa multivitamin, selimut, sarung,
mukena, handuk hingga minyak goreng.

 ""Semoga bantuan ini dapat sedikit meringankan beban saudara-saudara kita yang
terdampak erupsi,"" kata Erick saat mengunjungi korban erupsi Gunung Semeru,
dalam keterangannya, Minggu (12/12/2021).

 Erick juga meminta BUMN memetakan kebutuhan lain yang juga diperlukan
masyarakat. Erick menilai masyarakat terdampak tentu masih sangat membutuhkan
berbagai bantuan dalam menghadapi dampak erupsi.

 ""Kita minta BUMN segera memetakan apa yang menjadi kebutuhan masyarakat.
Jangan hanya untuk kebutuhan saat ini, tapi juga ke depannya,"" ungkap Erick.

 Dalam kunjungan tersebut, lanjut Erick, BUMN bakal berkolaborasi dengan
Banser, BNPB, TNI dan pemerintah kabupaten dalam membangun fasilitas MCK dan
20 hunian sementara bagi para pengungsi.

 ""Mari kita bersama-sama membantu meringankan masyarakat yang tengah kesulitan
saat ini,"" kata Erick.

 Erick juga memastikan BUMN menindaklanjuti arahan Presiden Joko Widodo
(Jokowi) dalam relokasi hunian sementara bagi warga terdampak erupsi.

 ""Kita sudah meminta BUMN untuk mendata dan menyiapkan relokasi bagi warga
terdampak erupsi,"" kata Erick.

 Erick menyebut Satgas Bencana BUMN wilayah Jawa Timur telah mendirikan lima
posko yang menampung 3.207 pengungsi dengan 138 relawan. Erick menyampaikan
BUMN pun sejak awal telah berkomitmen dalam membantu penanganan erupsi mulai
dari logistik, listrik, sanitasi, tenaga medis, trauma healing, hingga timsar.

 ""BUMN juga akan membangun MCK untuk para pengungsi,"" ucap Erick.

 Tak hanya itu, Eri

 ","['Erick', 'Thohir', 'Kerahkan', 'BUMN', 'Bantu', 'Korban', 'Erupsi', 'Gunung', 'Semeru']",<FreqDist with 9 samples and 9 outcomes>,<FreqDist with 9 samples and 9 outcomes>,"['erick', 'thohir', 'kerah', 'bumn', 'bantu', 'korban', 'erupsi', 'gunung', 'meru']"
3,Potensi Tsunami Raksasa sampai Jakarta Penampakan Langka di Laut,"Ayo share cerita pengalaman dan upload photo album travelingmu di sini.
Silakan

 Ada potensi

 Dalam keterangannya beberapa waktu lalu, Kepala Laboratorium Geodesi Institut
Teknologi Bandung (ITB), Heri Andreas mengatakan dari data Global Navigation
Satellite System (GNSS) terdapat akumulasi energi di bagian megathrust Selat
Sunda sampai selatan Pulau Jawa. Daerah tersebut seperti Pelabuhan Ratu dan
selatan Parangtritis serta selatan Pantai Jawa Timur.

 Dari pemodelan, jika gempa terjadi hingga kekuatan mencapai magnitudo (M) 8,7
sampai 9,0 kemungkinan diikuti tsunami raksasa setinggi 20 meter.

 Selain itu risiko Jakarta terkena tsunami akan lebih besar, dikarenakan
wilayah pesisir sudah berada di bawah laut hingga minus 1 hingga 2 meter.

 ""Berdasarkan hasil simulasi model, run-up tsunami dapat mencapai sebagian
besar Pluit, Ancol, Gunung Sahari, Kota Tua hingga Gajah Mada. Kalau kita
perhatikan modelnya ternyata nyaris menyentuh Istana,"" ujar Heri dalam
keterangan tertulis seperti dikutip detikTravel dari CNBC Indonesia, Kamis
(9/11/2021).

 Dari pemodelan yang dibuat, peran tanggul untuk laut Jakarta sangat penting.
Ini bisa berfungsi untuk melindungi Jakarta dari banjir rob hingga ancaman
tsunami.

 Dia mengatakan fakta ancaman tersebut harus diungkapkan. ""Fakta ini mau tidak
mau harus diungkap, meskipun terkesan menakut-nakuti,"" kata Heri.

 Selain itu masyarakat juga diimbau menyikapi risiko tersebut dengan lebih
bijak dan waspada. Gempa bumi dan tsunami ada bencana alam yang hampir tidak
mungkin dicegah.

 Sebelumnya juga terdapat prediksi potensi gempa besar dan tsunami setinggi 29
meter. Ini diperkirakan akan terjadi di wilayah pantai selatan Jawa, khususnya
Jawa Timur.

 Selain itu juga pernah ada prediksi dari Tim ITB soal gempa dan tsunami di
pesisir Jawa hingga Selat Sunda. Diperkirakan tsunaminya memiliki tinggi 20
meter.

 Namun menurut Badan Meteorologi, Klimatologi, dan Geofisika (BMKG) belum ada
teknologi yang dapat memprediksi soal gempa dengan tepat dan akurat. Termasuk
soal keakuratan waktu kejadian, tempat dan kekuatan saat gempa terjadi.

 BMKG juga mengatakan tidak pernah mengeluarkan prediksi soal bencana tersebut.
""Sehingga BMKG tidak pernah mengeluarkan informasi prediksi gempa bumi,""
mengutip dari laman resmi BMKG.

 Berita selanjutnya adalah sebuah foto laut yang tampaknya biasa. Padahal di
baliknya ada foto paus sperma albino.

 ","['Potensi', 'Tsunami', 'Raksasa', 'sampai', 'Jakarta', 'Penampakan', 'Langka', 'di', 'Laut']",<FreqDist with 9 samples and 9 outcomes>,<FreqDist with 9 samples and 9 outcomes>,"['potensi', 'tsunami', 'raksasa', 'sampai', 'jakarta', 'tampak', 'langka', 'di', 'laut']"
4,Viral Video Merapi Semburkan Awas Panas BPPTKG Beri Penjelasan,"Video

 Dalam video tersebut, tampak guguran awan panas Merapi membumbung tinggi ke
langit. Peristiwa itu diketahui terjadi hari ini Minggu (12/12/2021).

 ""Momen guguran Merapi hari ini, 12 Desember 2021. Merapi

 BPPTKG pun memberikan penjelasan terkait video tersebut. Melalui akun Twitter
@BPPTKG dijelaskan bahwa Gunung Merapi tercatat mengeluarkan awan panas pada
pukul 10.18 WIB.

 ""Awan panas guguran Merapi tanggal 12 Desember 2021 pukul 10.18 WIB tercatat
di seismogram dengan amplitudo 27 mm dan durasi 158 detik. Jarak luncur 2.000
meter ke arah barat daya. Arah angin ke timur,"" tulis akun @BPPTKG.

 BPPTKG menyebut potensi bahaya dapat berupa lava dan awan panas. lokasinya ada
di sektor tenggara barat daya dengan maksimal jarak 3 Km hingga 5 Km.

 ""(Lokasi) meliputi Sungai Kuning, Boyong, Bedog, Krasak, Bebeng dan Putih
sejauh maksimal 5 Km dan pada sektor tenggara Sungai Gendol 3 Km,"" terang
BPPTKG.

 Jika nanti terjadi erupsi eksplosif, lontaran material vulkanik dapat
menjangkau radius 3 kilometer dari puncak Merapi.

 BPPTKG mengimbau masyarakat tidak melakukan aktivitas apapun di sejumlah
lokasi tersebut. Selain itu, BPPTKG juga meminta masyarakat mewaspadai
datangnya lahar jika Merapi diguyur hujan deras.

 BPPTKG merekomendasikan agar penambangan di alur sungai yang berhulu di Gunung
Merapi dalam Kawasan Rawan Bencana (KRB) III saat ini dihentikan. Selain itu,
pelaku wisata juga diminta tidak melakukan kegiatan pada daerah potensi bahaya
dan bukaan kawan sejauh 5 kilometer dari puncak Merapi.

 ""Jika terjadi perubahan aktivitas yang signifikan, maka status aktivitas
Gunung Merapi akan segera ditinjau kembali,"" jelas BPPTKG.

 ","['Viral', 'Video', 'Merapi', 'Semburkan', 'Awas', 'Panas', 'BPPTKG', 'Beri', 'Penjelasan']",<FreqDist with 9 samples and 9 outcomes>,<FreqDist with 9 samples and 9 outcomes>,"['viral', 'video', 'rapi', 'sembur', 'awas', 'panas', 'bpptkg', 'beri', 'jelas']"
5,Berstatus Waspada Gunung Semeru Masih Berpotensi Muntahkan Awan Panas,"Aktivitas Gunung Semeru

 ""Pasca kejadian awan panas guguran yang terkahir pada 7 desmeber 2021,
pemantauan visual dan kegempaan berfluktuatif awan panas guguran masih
berpotensi terjadi seiring dengan guguran yang hingga pukul 12 tadi siang
masih teramati,"" ujar Kepala Pusat Vulkanologi dan Mitigasi Bencana Geologi,
Badan Geologi, Kementerian Energi dan Sumber Daya Mineral, Andiani dalam
konferensi pers, Minggu (12/12/2021).

 Selain itu, Andiani menyebut

 ""Secara visual teramati aktivitas pusat asap putih tebal dari kawah Jonggring
Saloko dengan tinggi 500-1000 meter. Potensi bahaya lain yang mengancam saat
ini adalah aliran lahar karena memasuki musim penghujan yg diperkirakan akan
berlangusung selama 3 bulan ke depan,"" tutur Andiani.

 Lebih lanjut, Andiani memperingatkan masyarakat sekitar agar tidak
beraktivitas di radius 1 Km dari puncak kawah. Dia juga meminta masyarakat
mewaspadai akan terjadinya potensi guguran awan panas, guguran lahar dan lava.

 ""Mewaspadai potensi awan panas guguran, guguran lahar dan aliran lava
sepanjang sungai atau lembah yang berhulu di puncak Gunung Semeru. Terutama
sepanjang aliran sungai Besuk Kobokan, Besuk Kembang dan Besuk Sat, serta
potensi lahar pada anak-anak sungai kecil yang bersumber pada Sungai Kobokan,""
tutur Andiani.

 ","['Berstatus', 'Waspada', 'Gunung', 'Semeru', 'Masih', 'Berpotensi', 'Muntahkan', 'Awan', 'Panas']",<FreqDist with 9 samples and 9 outcomes>,<FreqDist with 9 samples and 9 outcomes>,"['status', 'waspada', 'gunung', 'meru', 'masih', 'potensi', 'muntah', 'awan', 'panas']"
6,Tunjukkan Empatimu Jangan Selfie di Area Terdampak Erupsi Semeru,"Ayo share cerita pengalaman dan upload photo album travelingmu di sini.
Silakan

 Korban erupsi

 Kejengkelan itu muncul setelah ada video yang menunjukkan tiga remaja putri
dan warga asyik berselfi ria. Mereka tertawa dan bergaya di sungai aliran
lahar dari Gunung Semeru.

 Aksi itu dinilai tidak terpuji. Saat ini, korban bencana erupsi Gunung Semeru
masih berduka. Ada korban meninggal dunia, hilang, dan terluka. Secara
bersamaan mereka tetap harus waspada dengan erupsi sekunder dan ancaman
pencuri.

 ""Kami berharap petugas yang berjaga di lokasi untuk melakukan penertiban dan
pelarangan warga, yang hanya datang untuk foto dan video kecuali wartawan yang
sedang melakukan tugas jurnalistiknya,"" ujar warga Dusun Renteng Kecamatan
Candipuro, Sabtu (11/12/2021).

 Mereka juga menyayangkan banyaknya masyarakat yang juga melakukan selfie di
beberapa tempat. Di antaranya di lima dusun di Lumajang, Jawa Timur, yakni,
Dusun Kamar Kajang, Renteng, Gondeli di Kecamatan Candipuro, dan Dusun Kajar
Kuning, Dusun Curah Kobokan masuk zona merah bencana erupsi

 Kejengkelan juga doungkapkan Rohman, warga Dusun Renteng. Dia menilai ulah
wisatawan itu sangat menyakitkan. Luka derita korban erupsi masih belum
sembuh.

 ""Kami berharap petugas melarang keras, warga yang datang hanya untuk melihat
dan asik berfoto ria, masak pantas orang kesusahan malah dibuat ajang wisata""
kata Rohman.

 Korban dan warga terdampak erupsi

 ","['Tunjukkan', 'Empatimu', 'Jangan', 'Selfie', 'di', 'Area', 'Terdampak', 'Erupsi', 'Semeru']",<FreqDist with 9 samples and 9 outcomes>,<FreqDist with 9 samples and 9 outcomes>,"['tunjuk', 'empati', 'jangan', 'selfie', 'di', 'area', 'dampak', 'erupsi', 'meru']"
7,Ormas MKGR Beri Beasiswa Ribuan Pelajar Terdampak Erupsi Semeru,"Organisasi sayap Partai Golkar yakni Ormas Musyawarah Kekeluargaan Gotong
Royong (MKGR) turut membantu korban bencana alam erupsi Gunung Semeru, di
Lumajang, Jatim. Salah satunya dengan menyalurkan bantuan beasiswa kepada
5.000 siswa terdampak.

 Beasiswa ini disalurkan lewat PIP (Program Indonesia Pintar) untuk siswa dari
tingkat SD, SMP, SMA/K sederajat. Kemudian ada pula KIP (kartu Indonesia
Pintar) untuk 1.000 mahasiswa di perguruan tinggi dari semester satu hingga
lulus S1.

 ""Program bantuan beasiswa in kami harapkan bisa membantu para korban, terutama
dari sisi pendidikan yang tentu akan bisa membantu kehidupan mereka nanti
menjadi lebih baik,"" kata Ketua Umum MKGR Adies Kadir dalam keterangan
tertulis, Minggu (12/12/2021).

 Secara teknis program beasiswa ini dikoordinasikan dengan Ketua DPD MKGR
Lumajang, Fudoli Sandra. Bantuan beasiswa tersebut secara simbolis diterima
oleh Kepala Sekolah SMPN 2 Pasirian Lumajang.

 Rombongan MKGR yang dipimpin oleh Adies Kadir bersama Meutya Hafid, Nurul
Arifin, Dyah Roro Esti dan Purnomo Sidi dari Fraksi Partai Golkar langsung
datang ke sekolah tersebut untuk menyalurkan bantuan secara langsung dan
mendengarkan keluhan warga masyarakat di sana.

 ""Mereka berharap perhatian dari pemerintah pusat soal relokasi dan bantuan-
bantuan yang terkait dengan infrastruktur, agar mereka dapat kembali
beraktivitas,"" imbuh Adies Kadir.

 Selain bantuan beasiswa, MKGR juga memberikan bantuan berupa barang kebutuhan
yang sangat mendesak. Mulai dari makanan dan minuman, hingga selimut untuk
para pengungsi, yang jumlahnya cukup banyak.

 ""Ini wujud tindak lanjut kami untuk memenuhi seruan dari Ketua Umum Golkar,
Airlangga Hartarto agar seluruh elemen Golkar membantu korban bencana Semeru,""
ujar Adies Kadir.

 Pekan lalu, sesaat setelah erupsi Gunung Semeru, Airlangga, memang langsung
memerintahkan seluruh elemen partai beringin membantu korban bencana tersebut.
Yellow Clinic Golkar juga sudah berada di lokasi terdampak erupsi Semeru untuk
langsung membantu korban.

 ","['Ormas', 'MKGR', 'Beri', 'Beasiswa', 'Ribuan', 'Pelajar', 'Terdampak', 'Erupsi', 'Semeru']",<FreqDist with 9 samples and 9 outcomes>,<FreqDist with 9 samples and 9 outcomes>,"['ormas', 'mkgr', 'beri', 'beasiswa', 'ribu', 'ajar', 'dampak', 'erupsi', 'meru']"
8,Kota Ini Dulu Sempat Ada di Dunia Bagaimana dengan Sekarang,"Dalam sejarah peradaban, ada

 Kota-kota itu hilang di antaranya karena perang, bencana alam, dan
ditinggalkan penduduknya. Mau tahu apa saja kota yang dimaksud?

 Dikatakan dalam Atlas Obscura, Termessos adalah kota di Turki yang populer
dengan nama Sarang Elang. Kota ini ada di ketinggian 1.000 meter di atas
gunung.

 Dahulu, Alexander Agung dari Yunani yang terus menaklukkan Asia itu memilih
tidak ke kota tersebut. Dalam riwayatnya,

 Pada era kekaisaran Romawi, Kota Baia di Italia adalah kota yang digunakan
untuk bersenang-senang. Orang-orang yang berlibur ke sana akan mengunjungi
villa dan spa.

 Baia kemudian ambles ke dalam tanah. Namun, kota dekat Naples itu masih bisa
dikunjungi menggunakan kapal kaca atau scuba diving sebagai tempat wisata di
bawah air.

 Kota Nan Madol berada di Pohnpei, Micronesia. Dinasti Saudeleur di circa abad
ke-9 mendirikan kota yang dijuluki Venice dari Pasifik tersebut.

 Nan Madol mempunyai jejak dinding batu dari balik permukaan laut dan 90 pulau
artifisial. Saat masih aktif, kota tersebut digunakan Dinasti Saudeleur untuk
berdagang antarpulau. Namun, pemerintahan tirani itu juga menuntut upeti bahan
makanan dari pulau lainnya.

 Menurut Time, Nan Madol ditinggalkan saat pertengahan abad ke-9 dengan musabab
yang belum diketahui. Para arkeolog harus berlomba dengan waktu sebelum sisa-
sisa Nan Madol digerus air laut.

 Orang Aztec mendirikan Tenochtitlan di kisaran tahun 1325 di Central Meksiko.
Sayangnya, kota ini diruntuhkan kolonial Spanyol pada 1521.

 Orang-orang Mexica Aztec adalah golongan terakhir yang sampai di Lembah
Meksiko. Walau memperoleh lahan rawa, mereka tetap bisa membangun kota dengan
sistem kanal dan dam.

 Peradaban itulah yang akhirnya membentuk kolaborasi dengan dua kota lain untuk
membentuk kekaisaran Aztec, dengan ibu kota Tenochtitlan. Jejak peradaban
Aztec di kota tersebut kini terpendam di bawah Mexico City.

 Kota Palmyra didirikan di dekat oasis gurun di Syria kira-kira 4.000 tahun
lalu. Dulu, Palmyra dijadikan tempat istirahat para pedagang yang membawa
karavan dengan komoditas dagangannya menuju Jalur Sutera.

 Saat pertengahan abad pertama Masehi, Palmyra sempat diduduki Roma, lalu
bergantian dikoloni Amor, Arab, dan Yunani-Roma.

 Kota ini memiliki diversitas yang menyebabkannya menjadi peradaban kaya dan
mempunyai gedung-gedung megah, termasuk juga teater dan tempat ibadah. Di
tahun 273, tentara Kaisar Aurelian menghancurkan Kota Palmyra.

 Kota Geamana terletak di Rumania. Semula, kota tersebut didiami peradaban khas
lembah sampai pemerintah menemukan tembaga pada 1978.

 Para penduduk Kota Geamana lalu dipindahkan dan kotanya dijadikan area
pembuangan limbah tembaga yang beracun. Saat ini, beberapa atap bangunan di
sana masih bisa dilihat dari balik danau limbah beracun.

 Itulah beberapa

 ","['Kota', 'Ini', 'Dulu', 'Sempat', 'Ada', 'di', 'Dunia', 'Bagaimana', 'dengan', 'Sekarang']",<FreqDist with 10 samples and 10 outcomes>,<FreqDist with 10 samples and 10 outcomes>,"['kota', 'ini', 'dulu', 'sempat', 'ada', 'di', 'dunia', 'bagaimana', 'dengan', 'sekarang']"
